seconds,value
24,256
23,256
22,256
21,256
20,256
19,255
18,256
17,256
16,255
15,256
14,256
13,256
12,256
11,255
10,256
9,256
8,256
7,256
6,255
5,255
4,255
3,256
2,255
1,256
0,256
